gutenberg_id,text
5314,"and ran away with it. “Wait, wait,” said the frog. “Take me with thee."
5314,I can’t run as thou canst.” But what did it avail him to scream his
5314,"croak, croak, after her, as loudly as he could? She did not listen to"
5314,"it, but ran home and soon forgot the poor frog, who was forced to go"
5314,back into his well again.
5314,The next day when she had seated herself at table with the King and all
5314,"the courtiers, and was eating from her little golden plate, something"
5314,"came creeping splish splash, splish splash, up the marble staircase,"
5314,"and when it had got to the top, it knocked at the door and cried,"
5314,"“Princess, youngest princess, open the door for me.” She ran to see who"
5314,"was outside, but when she opened the door, there sat the frog in front"
5314,"of it. Then she slammed the door to, in great haste, sat down to dinner"
5314,"again, and was quite frightened. The King saw plainly that her heart"
5314,"was beating violently, and said, “My child, what art thou so afraid of?"
5314,"Is there perchance a giant outside who wants to carry thee away?” “Ah,"
5314,"no,” replied she. “It is no giant but a disgusting frog.”"
5314,"“What does a frog want with thee?” “Ah, dear father, yesterday as I was"
5314,"in the forest sitting by the well, playing, my golden ball fell into"
5314,"the water. And because I cried so, the frog brought it out again for"
5314,"me, and because he so insisted, I promised him he should be my"
5314,"companion, but I never thought he would be able to come out of his"
5314,"water! And now he is outside there, and wants to come in to me.”"
5314,"In the meantime it knocked a second time, and cried,"
5314,“Princess! youngest princess!
5314,Open the door for me!
5314,Dost thou not know what thou saidst to me
5314,Yesterday by the cool waters of the fountain?
5314,"Princess, youngest princess!"
5314,Open the door for me!”
5314,"Then said the King, “That which thou hast promised must thou perform."
5314,"Go and let him in.” She went and opened the door, and the frog hopped"
5314,"in and followed her, step by step, to her chair. There he sat and"
5314,"cried, “Lift me up beside thee.” She delayed, until at last the King"
5314,commanded her to do it. When the frog was once on the chair he wanted
5314,"to be on the table, and when he was on the table he said, “Now, push"
5314,thy little golden plate nearer to me that we may eat together.” She did
5314,"this, but it was easy to see that she did not do it willingly. The frog"
5314,"enjoyed what he ate, but almost every mouthful she took choked her. At"
5314,"length he said, “I have eaten and am satisfied; now I am tired, carry"
5314,"me into thy little room and make thy little silken bed ready, and we"
5314,will both lie down and go to sleep.”
5314,"The King’s daughter began to cry, for she was afraid of the cold frog"
5314,"which she did not like to touch, and which was now to sleep in her"
5314,"pretty, clean little bed. But the King grew angry and said, “He who"
5314,helped thee when thou wert in trouble ought not afterwards to be
5314,"despised by thee.” So she took hold of the frog with two fingers,"
5314,"carried him upstairs, and put him in a corner. But when she was in bed"
5314,"he crept to her and said, “I am tired, I want to sleep as well as thou,"
5314,"lift me up or I will tell thy father.” Then she was terribly angry, and"
5314,"took him up and threw him with all her might against the wall. “Now,"
5314,"thou wilt be quiet, odious frog,” said she. But when he fell down he"
5314,was no frog but a King’s son with beautiful kind eyes. He by her
5314,father’s will was now her dear companion and husband. Then he told her
5314,"how he had been bewitched by a wicked witch, and how no one could have"
5314,"delivered him from the well but herself, and that to-morrow they would"
5314,"go together into his kingdom. Then they went to sleep, and next morning"
5314,"when the sun awoke them, a carriage came driving up with eight white"
5314,"horses, which had white ostrich feathers on their heads, and were"
5314,"harnessed with golden chains, and behind stood the young King’s servant"
5314,Faithful Henry. Faithful Henry had been so unhappy when his master was
5314,"changed into a frog, that he had caused three iron bands to be laid"
5314,"round his heart, lest it should burst with grief and sadness. The"
5314,carriage was to conduct the young King into his Kingdom. Faithful Henry
5314,"helped them both in, and placed himself behind again, and was full of"
5314,joy because of this deliverance. And when they had driven a part of the
5314,way the King’s son heard a cracking behind him as if something had
5314,"broken. So he turned round and cried, “Henry, the carriage is"
5314,breaking.”
5314,"“No, master, it is not the carriage. It is a band from my heart, which"
5314,was put there in my great pain when you were a frog and imprisoned in
5314,the well.” Again and once again while they were on their way something
5314,"cracked, and each time the King’s son thought the carriage was"
5314,breaking; but it was only the bands which were springing from the heart
5314,of faithful Henry because his master was set free and was happy.
5314,2 Cat and Mouse in Partnership
5314,"A certain cat had made the acquaintance of a mouse, and had said so"
5314,"much to her about the great love and friendship she felt for her, that"
5314,at length the mouse agreed that they should live and keep house
5314,"together. “But we must make a provision for winter, or else we shall"
5314,"suffer from hunger,” said the cat, “and you, little mouse, cannot"
5314,"venture everywhere, or you will be caught in a trap some day.” The good"
5314,"advice was followed, and a pot of fat was bought, but they did not know"
5314,"where to put it. At length, after much consideration, the cat said, “I"
5314,"know no place where it will be better stored up than in the church, for"
5314,no one dares take anything away from there. We will set it beneath the
5314,"altar, and not touch it until we are really in need of it.” So the pot"
5314,"was placed in safety, but it was not long before the cat had a great"
5314,"yearning for it, and said to the mouse, “I want to tell you something,"
5314,"little mouse; my cousin has brought a little son into the world, and"
5314,"has asked me to be godmother; he is white with brown spots, and I am to"
5314,"hold him over the font at the christening. Let me go out to-day, and"
5314,"you look after the house by yourself.” “Yes, yes,” answered the mouse,"
5314,"“by all means go, and if you get anything very good, think of me, I"
5314,"should like a drop of sweet red christening wine too.” All this,"
5314,"however, was untrue; the cat had no cousin, and had not been asked to"
5314,"be godmother. She went straight to the church, stole to the pot of fat,"
5314,"began to lick at it, and licked the top of the fat off. Then she took a"
5314,"walk upon the roofs of the town, looked out for opportunities, and then"
5314,"stretched herself in the sun, and licked her lips whenever she thought"
5314,"of the pot of fat, and not until it was evening did she return home."
5314,"“Well, here you are again,” said the mouse, “no doubt you have had a"
5314,"merry day.” “All went off well,” answered the cat. “What name did they"
5314,give the child?” “Top off!” said the cat quite coolly. “Top off!” cried
5314,"the mouse, “that is a very odd and uncommon name, is it a usual one in"
5314,"your family?” “What does it signify,” said the cat, “it is no worse"
5314,"than Crumb-stealer, as your god-children are called.”"
5314,Before long the cat was seized by another fit of longing. She said to
5314,"the mouse, “You must do me a favour, and once more manage the house for"
5314,"a day alone. I am again asked to be godmother, and, as the child has a"
5314,"white ring round its neck, I cannot refuse.” The good mouse consented,"
5314,"but the cat crept behind the town walls to the church, and devoured"
5314,half the pot of fat. “Nothing ever seems so good as what one keeps to
5314,"oneself,” said she, and was quite satisfied with her day’s work. When"
5314,"she went home the mouse inquired, “And what was this child christened?”"
5314,"“Half-done,” answered the cat. “Half-done! What are you saying? I never"
5314,"heard the name in my life, I’ll wager anything it is not in the"
5314,calendar!”
5314,The cat’s mouth soon began to water for some more licking. “All good
5314,"things go in threes,” said she, “I am asked to stand godmother again."
5314,"The child is quite black, only it has white paws, but with that"
5314,"exception, it has not a single white hair on its whole body; this only"
5314,"happens once every few years, you will let me go, won’t you?” “Top-off!"
5314,"Half-done!” answered the mouse, “they are such odd names, they make me"
5314,"very thoughtful.” “You sit at home,” said the cat, “in your dark-grey"
5314,"fur coat and long tail, and are filled with fancies, that’s because you"
5314,do not go out in the daytime.” During the cat’s absence the mouse
5314,"cleaned the house, and put it in order but the greedy cat entirely"
5314,emptied the pot of fat. “When everything is eaten up one has some
5314,"peace,” said she to herself, and well filled and fat she did not return"
5314,home till night. The mouse at once asked what name had been given to
5314,"the third child. “It will not please you more than the others,” said"
5314,"the cat. “He is called All-gone.” “All-gone,” cried the mouse, “that is"
5314,the most suspicious name of all! I have never seen it in print.
5314,"All-gone; what can that mean?” and she shook her head, curled herself"
5314,"up, and lay down to sleep."
5314,"From this time forth no one invited the cat to be god-mother, but when"
5314,the winter had come and there was no longer anything to be found
5314,"outside, the mouse thought of their provision, and said, “Come cat, we"
5314,will go to our pot of fat which we have stored up for ourselves—we
5314,"shall enjoy that.” “Yes,” answered the cat, “you will enjoy it as much"
5314,as you would enjoy sticking that dainty tongue of yours out of the
5314,"window.” They set out on their way, but when they arrived, the pot of"
5314,"fat certainly was still in its place, but it was empty. “Alas!” said"
5314,"the mouse, “now I see what has happened, now it comes to light! You are"
5314,a true friend! You have devoured all when you were standing godmother.
5314,"First top off, then half done, then—.” “Will you hold your tongue,”"
5314,"cried the cat, “one word more and I will eat you too.” “All gone” was"
5314,already on the poor mouse’s lips; scarcely had she spoken it before the
5314,"cat sprang on her, seized her, and swallowed her down. Verily, that is"
5314,the way of the world.
5314,3 Our Lady’s Child
5314,"Hard by a great forest dwelt a wood-cutter with his wife, who had an"
5314,"only child, a little girl three years old. They were so poor, however,"
5314,"that they no longer had daily bread, and did not know how to get food"
5314,for her. One morning the wood-cutter went out sorrowfully to his work
5314,"in the forest, and while he was cutting wood, suddenly there stood"
5314,before him a tall and beautiful woman with a crown of shining stars on
5314,"her head, who said to him, “I am the Virgin Mary, mother of the child"
5314,"Jesus. Thou art poor and needy, bring thy child to me, I will take her"
5314,"with me and be her mother, and care for her.” The wood-cutter obeyed,"
5314,"brought his child, and gave her to the Virgin Mary, who took her up to"
